function,matrix,time
svd_dask,random_3GB,365.03499824539995
svd_sklearn,random_3GB,84.99234007039922
svd_dask,random_6GB,773.5719987854002
svd_sklearn,random_6GB,173.17896169320048
svd_sklearn,random1Go,198.46173126359864
svd_dask,petite,0.09803117739998016
svd_sklearn,petite,0.02783409959997698
svd_dask,random1Go,380.0631764467995
