METHODS," (1e3,1e2) "," (1e4,1e2) "," (1e5,1e3) "
numpy          , 0.029102  , 0.163396 , 29.2854  
scipy          , 0.065576  , 0.046366  , 9.2035   
dask           , 0.090678  , 0.314379  , 43.4950  
ipca           , 0.033539  , 0.393814  , 161.0143 
pyparsvd       , 0.078520  , 0.508466  , 55.8233
