METHODS," (1e3,1e2) "," (1e4,1e2) "," (1e5,1e3) "
numpy          , 0.195633  , 2.43116   ,"264,124"
scipy          , 0.106008  , 0.324645  ,"67,184"
dask           , 0.301555  , 1.38304   ,"268,548"
ipca           , 0.126024  , 1.2499    ,"706,643"
